checkpoint_date,checkpoint_time,uav_drones,shahed,orlan,orion,lancet,merlin,granat_4,zala,mohajer_6,missiles,ballistic_missiles,missile_kh_31p,cruise_missiles,kh_59_missile,kalibr_missile,kinzhal_missile,iskander_m_missile,iskander_k_missile,fighter_su_30_cm,fighter_su_34,fighter_su_35,fighter_su_24m,fighter_su_25,helicopter,helicopter_k_52,helicopter_mi_8,plane_a_50,plane_il_22
2024-01-02,11:00:00,,,,,,,,,,,,,59,,3,10,,,,,,,,,,,,
2024-01-04,08:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-05,11:00:00,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-06,08:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-07,07:00:00,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,11:00:00,,8,,,,,,,,,,,18,,,,,,,,,,,,,,,
2024-01-13,11:00:00,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,
2024-01-14,22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2024-01-17,07:00:00,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-18,07:00:00,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-20,08:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22,06:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-23,09:00:00,,,,,,,,,,,,,15,1,,,5,,,,,,,,,,,
2024-01-25,06:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-27,07:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-28,06:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29,07:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-30,07:00:00,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,06:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,07:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-08,07:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-09,07:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-10,07:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-11,07:00:00,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-12,06:00:00,,14,,,,,,,,,,,,1,,,,,,,,,,,,,,
2024-02-13,06:00:00,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,09:00:00,,,,,,,,,,,,,8,2,2,,1,,,,,,,,,,,
2024-02-18,07:00:00,,12,,,,,,,,,,,,1,,,,,,1,,,,,,,,
2024-02-19,07:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-19,10:00:00,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
2024-02-20,07:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-21,07:00:00,,13,,,,,,,,,,,,1,,,,,,,,,,,,,,
2024-02-21,07:30:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024-02-22,07:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-23,07:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
